Facility,Date,Number
Food Pantries (Individuals Served),10/01/2020-12/31/2020,N/A
Soup Kitchens ( meals served),10/01/2020-12/31/2020,N/A
Food Pantries (Individuals Served),07/01/2020-09/30/2020,N/A
Soup Kitchens ( meals served),07/01/2020-09/30/2020,N/A
Food Pantries (Individuals Served),04/01/2020-06/30/2020,"6,569,071"
Soup Kitchens ( meals served),04/01/2020-06/30/2020,"938,786"
Food Pantries (Individuals Served),01/01/2020-03/31/2020,"3,392,824"
Soup Kitchens ( meals served),01/01/2020-03/31/2020,"658,861"
Food Pantries (Individuals Served),10/01/2019-12/31/2019,"3,320,905"
Soup Kitchens ( meals served),10/01/2019-12/31/2019,"667,465"
Food Pantries (Individuals Served),07/01/2019-09/30/2019,"3,222,529"
Soup Kitchens ( meals served),07/01/2019-09/30/2019,"688,730"
Food Pantries (Individuals Served),04/01/2019-06/30/2019,"3,349,553"
Soup Kitchens ( meals served),04/01/2019-06/30/2019,"681,537"
Food Pantries (Individuals Served),01/01/2019-03/31/2019,"3,059,360"
Soup Kitchens ( meals served),01/01/2019-03/31/2019,"637,073"
Food Pantries (Individuals Served),10/01/2018-12/31/2018,"3,162,624"
Soup Kitchens ( meals served),10/01/2018-12/31/2018,"641,533"
Food Pantries (Individuals Served),07/01/2018-09/30/2018,"3,102,692"
Soup Kitchens ( meals served),07/01/2018-09/30/2018,"649,180"
Food Pantries (Individuals Served),04/01/2018-06/30/2018,"3,365,723"
Soup Kitchens ( meals served),04/01/2018-06/30/2018,"631,541"
Food Pantries (Individuals Served),01/01/2018-03/31/2018,"3,047,380"
Soup Kitchens ( meals served),01/01/2018-03/31/2018,"580,197"
Food Pantries (Individuals Served),10/01/2017-12/31/2017,"3,309,266"
Soup Kitchens ( meals served),10/01/2017-12/31/2017,"603,371"
Food Pantries (Individuals Served),07/01/2017-09/30/2017,"2,980,128"
Soup Kitchens ( meals served),07/01/2017-09/30/2017,"634,097"
Food Pantries (Individuals Served),04/01/2017-06/30/2017,"3,111,791"
Soup Kitchens ( meals served),04/01/2017-06/30/2017,"597,940"
Food Pantries (Individuals Served),01/01/2017-03/31/2017,"2,854,430"
Soup Kitchens ( meals served),01/01/2017-03/31/2017,"558,290"
Food Pantries (Individuals Served),10/01/2016-12/31/2016,"3,024,016"
Soup Kitchens ( meals served),10/01/2016-12/31/2016,"595,141"
Food Pantries (Individuals Served),07/01/2016-09/30/2016,"2,863,145"
Soup Kitchens ( meals served),07/01/2016-09/30/2016,"617,869"
Food Pantries (Individuals Served),04/01/2016-06/30/2016,"3,201,449"
Soup Kitchens ( meals served),04/01/2016-06/30/2016,"589,221"
Food Pantries (Individuals Served),01/01/2016-03/31/2016,"2,652,314"
Soup Kitchens ( meals served),01/01/2016-03/31/2016,"553,408"
Food Pantries (Individuals Served),10/01/2015-12/31/2015,"2,956,771"
Soup Kitchens ( meals served),10/01/2015-12/31/2015,"586,631"
Food Pantries (Individuals Served),07/01/2015-09/30/2015,"2,709,911"
Soup Kitchens ( meals served),07/01/2015-09/30/2015,"632,085"
Food Pantries (Individuals Served),04/01/2015-06/30/2015,"2,732,983"
Soup Kitchens ( meals served),04/01/2015-06/30/2015,"608,178"
Food Pantries (Individuals Served),01/01/2015-03/31/2015,"2,505,041"
Soup Kitchens ( meals served),01/01/2015-03/31/2015,"561,863"
Food Pantries (Individuals Served),10/01/2014-12/31/2014,"2,936,109"
Soup Kitchens ( meals served),10/01/2014-12/31/2014,"626,718"
Food Pantries (Individuals Served),07/01/2014-09/30/2014,"2,590,762"
Soup Kitchens ( meals served),07/01/2014-09/30/2014,"648,399"
Food Pantries (Individuals Served),04/01/2014-06/30/2014,"2,614,548"
Soup Kitchens ( meals served),04/01/2014-06/30/2014,"621,126"
Food Pantries (Individuals Served),01/01/2014-03/31/2014,"2,304,566"
Soup Kitchens ( meals served),01/01/2014-03/31/2014,"546,411"
Food Pantries (Individuals Served),10/01/2013-12/31/2013,"2,494,783"
Soup Kitchens ( meals served),10/01/2013-12/31/2013,"607,111"
Food Pantries (Individuals Served),07/01/2013-09/30/2013,"2,271,449"
Soup Kitchens ( meals served),07/01/2013-09/30/2013,"631,836"
Food Pantries (Individuals Served),04/01/2013-06/30/2013,N/A
Soup Kitchens ( meals served),04/01/2013-06/30/2013,N/A
Food Pantries (Individuals Served),01/01/2013-03/31/2013,N/A
Soup Kitchens ( meals served),01/01/2013-03/31/2013,N/A
Food Pantries (Individuals Served),10/01/2012-12/31/2012,"2,734,453"
Soup Kitchens ( meals served),10/01/2012-12/31/2012,"838,315"
Food Pantries (Individuals Served),07/01/2012-09/30/2012,"2,235,270"
Soup Kitchens ( meals served),07/01/2012-09/30/2012,"799,640"
Food Pantries (Individuals Served),04/01/2012-06/30/2012,N/A
Soup Kitchens ( meals served),04/01/2012-06/30/2012,N/A
Food Pantries (Individuals Served),01/01/2012-03/31/2012,N/A
Soup Kitchens ( meals served),01/01/2012-03/31/2012,N/A
Food Pantries (Individuals Served),10/01/2011-12/31/2011,"2,587,785"
Soup Kitchens ( meals served),10/01/2011-12/31/2011,"811,222"
